Address,Neighborhood,Project.Type,Status,Size,Pipeline Link,Neighborhood:,Pipeline,Project type:,No. of units:,Types of units:,Unit sizes:,Amenities:,Pricing:,Website:,Architect:,Last updated:,Address:,Status:,First move-ins:,Latitude,Longitude
Common Bowman,Chinatown,Rental,Leased Up,14  units,https://dc.urbanturf.com/pipeline/754/Common_Bowman,,,                                  Rental apartments                              </p>,14.0,                  Studios within co-living space                </p>,,,"                  From $1,550                </p>",,Common  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  819 6th Street NW,  Washington, DC,  20001,  ",Leased Up,                    November 2017                  </p>,38.9004928,-77.0196338
OSLOatlas,Trinidad,Rental,Leased Up,8  units,https://dc.urbanturf.com/pipeline/561/OSLOatlas,,,                                  Rental apartments                              </p>,8.0,"                  Five-bedroom, co-living apartments                </p>",,,"                  $1,100 - $1,300                </p>",,Square 134  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1219 Florida Ave NE,  Washington, DC,  20002,  ",Leased Up,"                    2017                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.9020596,-76.9890563
The Riverfront at West Hyattsville,Hyattsville,Condos & Rental apartments,"Under Construction, Leasing Up",781  units,https://dc.urbanturf.com/pipeline/1179/The_Riverfront_at_West_Hyattsville,,,                                  Condos &amp; Rental apartments                              </p>,781.0,                  TBD                </p>,,,,https://www.gilbaneco.com/projects/the-riverfront-at-west-hyattsville-metro/,,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  Lancer Dr & Ager Rd,  Hyattsville, MD,  20782,  ","Under Construction, Leasing Up",,38.9579144,-76.9675171
Modera Lady Bird,Spring Valley,Rental,"Under Construction, Leasing Up",234  units,https://dc.urbanturf.com/pipeline/497/Modera_Lady_Bird,,,                                  Rental apartments                              </p>,234.0,"                  Studios, one-, two- and three-bedroom units                </p>",,,,https://millcreekplaces.com/community/modera-lady-bird/?utm_source=Press%20Release&amp;utm_content=Moderaladybirdconstructionunderway,Torti Gallas Urban  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  4330 48th Street NW,  Washington, DC,  20016,  ","Under Construction, Leasing Up",,38.9458266,-77.0954802
Quincy Lane,Eckington,Townhomes & Condos,"Delivered, Selling",224  units,https://dc.urbanturf.com/pipeline/851/Quincy_Lane,,,                                  Townhomes &amp; condos                              </p>,224.0,"                  One-, two- and three-bedroom residences                </p>",,,                  From the $300s                </p>,https://1625eckington.com/quincy-lane/,KTGY Architecture  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  1625 Eckington Place NE,  Washington, DC,  20002,  ","Delivered, Selling",,38.9120054,-77.0038263
2715 M Street NW,Georgetown,Rental,"Under Construction, Not Yet Leasing",36  units,https://dc.urbanturf.com/pipeline/1104/2715_M_Street_NW,,,                                  Rental apartments                              </p>,36.0,                  One- and two-bedroom apartments                </p>,,,,https://2715mstreetapts.com/,Emotive Architecture  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2715 M Street NW,  Washington, DC,  20007,  ","Under Construction, Not Yet Leasing",,38.9054046,-77.0565584
Brookland Grove,Brookland,Townhomes,Sold Out,60  units,https://dc.urbanturf.com/pipeline/982/Brookland_Grove,,,                                  Townhomes                              </p>,60.0,                  Three- and four-level townhomes with 1-2 bay garages and rooftop terrace                </p>,,,                  From the mid $800s                </p>,,Tri Pointe Homes  ,"                November 6th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  436 Holmwood Drive NE,  Washington, DC,  20017,  ",Sold Out,,38.9284805,-76.9995722
The Eave,Adams Morgan,Condo,"Delivered, Selling",4  units,https://dc.urbanturf.com/pipeline/1308/The_Eave,,,                                  Condos                              </p>,4.0,                  One bedrooms                </p>,,,"                  Starting from $399,900                </p>",https://mcwb.com/properties/the-eave/,,"                November 4th, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  2465 18th Street NW,  Washington, DC,  20009,  ","Delivered, Selling",,38.9221376,-77.0421945
Europa,Capitol Hill,Rental,"Delivered, Leasing Up",49  units,https://dc.urbanturf.com/pipeline/733/Europa,,,                                  Rental apartments                              </p>,49.0,"                  Studios, one- and two-bedroom units                </p>",,,,https://mmgdevelopment.com/europa-818-potomac-ave-se/,PGN Architects  ,"                November 3rd, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  818 Potomac Avenue SE,  Washington, DC,  20003,  ","Delivered, Leasing Up","                    2021                  </p></div>, <div class=""block""><h3>Courtney Abrams</h3>",38.8769345,-76.9948026
The Charles,Bethesda,Rental,"Under Construction, Not Yet Selling",301  units,https://dc.urbanturf.com/pipeline/1119/The_Charles,,,                                  Rental apartments                              </p>,301.0,"                  Studio, one-, two- and three-bedroom apartments                </p>",,,,https://thecharlesmd.com/,SK+I Architecture  ,"                October 31st, 2025              </p></div>, <div class=""block""><h3>Where?</h3>",",  7340 Wisconsin Avenue,  Bethesda, MD,  20814,  ","Under Construction, Not Yet Selling",,38.9829967,-77.093416
